"procedure","code postal","lieu","nature","code CPV","dureeMois","acheteur/id","acheteur/nom","datePublicationDonnees","titulaires/0/denominationSociale","titulaires/0/id","titulaires/0/typeIdentifiant","id","type","formePrix","dateNotification","objet","montant","universally unique identifier (uuid)"
"Procédure adaptée","42650","Rue Jean Monnet et lieu-dit Alexandrie 42650 SAINT JEAN BONNEFONDS","Marché","45233252","2","24420077000117","Saint-Etienne Métropole","2020-10-28","EIFFAGE ROUTE CENTRE EST","39882711300141","SIRET","2020ACT30900","Marché","Ferme et actualisable","2020-10-28","Travaux de voirie 2020 sur la commune de Saint-Jean-Bonnefonds.","172252.50","38978D8CE71B176CCC761D561774A4D7"
"Procédure adaptée","42650","Régie Eau Le Fay 42650 SAINT JEAN BONNEFONDS","Marché","45262522","2","24420077000117","Saint-Etienne Métropole","2020-12-21","MGC CONSTRUCTIONS","82793307800012","SIRET","2020PATR37700","Marché","Ferme et actualisable","2020-12-21","Réalisation et aménagement d'un local de rangement et d'une mezzanine de stockage à la régie eau Le Fay à Saint-Jean-Bonnefonds (Loire)","27885.00","38DE253AF2404F80E4C1F380EF7B888D"
"Procédure adaptée","42000","SAINT ETIENNE","Marché","45233200","6","24420077000117","Saint-Etienne Métropole","2020-12-01","eurovia","31797591000223","SIRET","2020VO33500","Marché","Révisable","2020-11-18","Aménagements des abords de la Halle Mazerat à Saint Etienne (Loire)","347846.84","38E402D60BBCA2D4FE27CC6F5F515B3C"
"Procédure adaptée","42000","territoire de Saint-Etienne 42000 SAINT ETIENNE","Marché","45233252","4","24420077000117","Saint-Etienne Métropole","2020-09-08","COLAS RHONE-ALPES AUVERGNE","32939379700066","SIRET","2020ACT24600","Marché","Ferme et actualisable","2020-9-7","Travaux 2020 sur les voiries structurantes de la Ville de Saint-Etienne","691870.84","3A74C20FA81E1D159323E107F1D7DAD4"
"Procédure avec négociation","42000","SAINT ETIENNE","Accord-cadre","50343000","12","24420077000117","Saint-Etienne Métropole","2020-11-06","SCOPELEC","78417602600119","SIRET","2020PATR31300","Marché","Révisable","2020-11-5","Fournitures, maintenance préventive et corrective des systèmes de vidéosurveillance, alarme intrusion et contrôle d'accès des bâtiments de SEM - Lot n°2 : MAMC /Réserve des Trois Musées","3600.00","3ACE04BE07399D779FE6939341235761"
"Procédure adaptée","42000","SAINT ETIENNE","Accord-cadre","79111000","12","24420077000117","Saint-Etienne Métropole","2020-12-21","CABINET RUDY VOGEL","44104929300026","SIRET","2020FIN37100","Marché","Révisable","2020-12-21","PRESTATIONS DE CONSEIL ET D'ASSISTANCE EN MATIERE DE FISCALITE POUR LES SERVICES DE SAINT-ETIENNE METROPOLE","40000.00","3AEA5E65F29E6C76A25FEEEFD9F6C3D8"
"Procédure adaptée","42500","Chambon Feugerolles","Marché","71300000","12","24420077000117","Saint Etienne Métropole","2021-11-29","CABINET MERLIN","42863435600508","SIRET","2021EP28100","Marché","Révisable","2021-11-29","Mission de maîtrise d'oeuvre pour la réhabilitation de l'usine de production d'eau potable de LATOUR sur la commune du Chambon Feugerolles (Loire)","43725.5",""
"Procédure adaptée","42530","SAINT GENEST LERPT","Marché subséquent","71335000","1","24420077000117","Saint-Etienne Métropole","2021-02-24","ECR Environnement Centre Est","52344278800023","SIRET","2021ASRI2200","Marché","Ferme et actualisable","2021-2-23","Etudes géotechnique de type G1 et G5 en prévision de la réalisation d'un bassin d'orage - route de Trémolin - Saint Genest Lerpt - marché subséquent n°8 à l'Accord-cadre 2020DECAF159","3575.00","3C0F171ADB5DBEB2D5F3BC76DB0DE944"
"Procédure adaptée","42000","SAINT ETIENNE","Accord-cadre","79311000","24","24420077000117","Saint-Etienne Métropole","2020-12-21","Mesures et Patrimoine","84112657600013","SIRET","2020DCAF37200","Marché","Révisable","2020-12-21","Prestations de géomètre-expert","50000.00","3C40E1C89F0EDF5A15D8B9B3B18596B8"
"Procédure adaptée","42000","SAINT ETIENNE","Accord-cadre","79311000","24","24420077000117","Saint-Etienne Métropole","2020-12-21","Mesures et Patrimoine","84112657600013","SIRET","2020DCAF37300","Marché","Révisable","2020-12-21","Prestations de géomètre-expert","25000.00","3C549BA2F35BC61BFA786E6D7D47271D"
"Procédure adaptée","42000","SAINT ETIENNE","Accord-cadre","79311000","24","24420077000117","Saint-Etienne Métropole","2020-12-21","GEOEXPERT42","49384817000012","SIRET","2020DCAF37400","Marché","Révisable","2020-12-21","Prestations de géomètre-expert","50000.00","3C5C3B8F0BCA787D9427FC78F86CF409"
"Procédure adaptée","42000","SAINT ETIENNE","Accord-cadre","79311000","24","24420077000117","Saint-Etienne Métropole","2020-12-21","GEOEXPERT42","49384817000012","SIRET","2020DCAF37500","Marché","Révisable","2020-12-21","Prestations de géomètre-expert","50000.00","3C62EFF90566C183F2B94C26488859A7"
"Procédure adaptée","42000","SAINT ETIENNE","Accord-cadre","79311000","24","24420077000117","Saint-Etienne Métropole","2020-12-21","GEOLIS","49076371100101","SIRET","2020DCAF37600","Marché","Révisable","2020-12-21","Prestations de géomètre-expert","25000.00","3C69B2BDFF406C9C67F4A1876E80A882"
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","30213100","12","24420077000117","Saint-Etienne Métropole","2020-12-21","SCC France","42498265000014","SIRET","2020DD34200","Marché","Révisable","2020-12-21","Fourniture de matériels et logiciels informatiques pour les écoles du territoire Saint-Etienne Métropole","2410602.00","3C9A5513F677B8049AA88EF74299019F"
"Procédure adaptée","42140","La Gimond, Aboen Bourg et Pavezin","Marché","45259100","12","24420077000117","Saint-Etienne Métropole","2021-03-01","EUROVIA DALA AGENCE LMTP","31797591000389","SIRET","2021ASRI3800","Marché","Révisable","2021-02-26","Curage et compostage des boues des filtres plantés de roseaux de La Gimond, Aboen et Pavezin.","26865.00","3CC18541CFC6AC611903F24C7C73BE88"
"Procédure adaptée","42740","Barrage du Dorlay  42740 La Terrasse sur Dorlay","Marché","45120000","2","24420077000117","Saint-Etienne Métropole","2020-09-03","Hydrogeotechnique Sud Ouest","50205894400021","SIRET","2020EP24900","Marché","Ferme et actualisable","2020-9-2","Travaux d'investigations sur le parement bitumineux du barrage du Dorlay (Loire)","69969.00","3CD20DB7A76569850C99AD70A8F4D273"
"Procédure adaptée","42140","La Gimond, Aboen Bourg et Pavezin","Marché","45259100","12","24420077000117","Saint-Etienne Métropole","2021-03-01","EUROVIA DALA AGENCE LMTP","31797591000389","SIRET","2021ASRI3900","Marché","Révisable","2021-02-26","Curage et compostage des boues des filtres plantés de roseaux de La Gimond, Aboen et Pavezin.","22300.00","3CD2651AB1C946A9E9B470EB687D08C8"
"Procédure adaptée","42140","La Gimond, Aboen Bourg et Pavezin","Marché","45259100","12","24420077000117","Saint-Etienne Métropole","2021-03-01","EUROVIA DALA AGENCE LMTP","31797591000389","SIRET","2021ASRI4000","Marché","Révisable","2021-02-26","Curage et compostage des boues des filtres plantés de roseaux de La Gimond, Aboen et Pavezin.","21115.00","3CD7B1DF082B7D4D176B805F04EAF384"
"Procédure adaptée","42400","SAINT CHAMOND","Marché","45223100","2","24420077000117","Saint-Etienne Métropole","2020-09-03","Somerm","39228200000034","SIRET","2020EP24800","Marché","Ferme et actualisable","2020-9-2","Création et mise en place d'une passerelle permettant d'accéder à la rive droite du barrage de la Rive.","30550.00","3CF921B7A98D22F3CFA5E189934AB461"
"Procédure adaptée","42800","RIVE DE GIER","Marché","71335000","8","24420077000117","Saint-Etienne Métropole","2021-02-09","CELIGEO","82267678900016","SIRET","2021ASRI1100","Marché","Révisable","2021-2-8","Etude géotechnique pour l'aménagement du lit et des berges du Gier à la Grand-Croix (zone aval)","51621.04","3DF2E87EB607E9AD7DEAE27D650F0853"
"Procédure adaptée","42000","SAINT ETIENNE","Accord-cadre","71631300","12","24420077000117","Saint-Etienne Métropole","2020-11-16","BUREAU ALPES CONTROLES","35181269800246","SIRET","2020DCAF31800","Marché","Révisable","2020-11-16","Accord Cadre pour des missions de Contrôle technique pour les opérations de construction et d'aménagement sur le territoire de Saint Etienne Métropole","50000.00","3DFDCC42DD70BAF292B036170E189833"
"Appel d'offres ouvert","42500","Communes de la vallée de l?Ondaine : La Ricamarie, Le Chambon-Feugerolles, Firminy, Unieux, Fraisses, Saint-Paul en Cornillon, Roche La Molière (partiellement)","Marché","71330000","24","24420077000117","Saint Etienne Métropole","2021-12-24","REALITES ENVIRONNEMENT","50844443700026","SIRET","2021ASRI33900","Marché","Révisable","2021-12-24","Diagnostic et schéma directeur du système d'assainissement du Pertuiset - Vallée de l'Ondaine","339120.0",""
"Procédure adaptée","42570","SAINT-HEAND","Accord-cadre","79311000","24","24420077000117","Saint-Etienne Métropole","2020-03-18","IRH INGENIEUR CONSEIL","49064639500320","SIRET","2020ASRI3900","Marché","Révisable","2020-3-18","Diagnostic du système d'assainissement de Saint-Héand et missions de maîtrise d'oeuvre ""secteur Riffoy"" (Loire)","250000.00","407CA4B0F9770BD6DE01125367E49F28"
"Procédure adaptée","42000","SAINT ETIENNE","Accord-cadre","77320000","12","24420077000117","Saint-Etienne Métropole","2021-02-09","LAQUET SAS","31420941200019","SIRET","2021GG1800","Marché","Révisable","2021-2-9","PRESTATIONS D'ENTRETIEN DU TERRAIN D'HONNEUR DU STADE GEOFFROY-GUICHARD","70000.00","40B5FBD0C99F1AA28F18DF5A0C24F6FF"
"Procédure adaptée","42000","Territoire de Saint-Etienne Métropole","Marché","66171000","12","24420077000117","Saint Etienne Métropole","2021-12-14","SETEC ENERGIE ENVIRONNEMENT","33072726400120","SIRET","2021DECH34500","Marché","Révisable","2021-12-14","ASSISTANCE A MAÎTRISE D'OUVRAGE POUR LE CONTRÔLE TECHNIQUE ET FINANCIER DE LA CONCESSION DE SERVICE PUBLIC POUR LE FINANCEMENT, LA CONCEPTION, LA CONSTRUCTION ET  L'EXPLOITATION D'UN CENTRE DE TRI DES EMBALLAGES ET PAPIERS GRAPHIQUES","98020.0",""
"Procédure adaptée","42000","Territoire de Saint-Etienne Métropole","Marché","66171000","12","24420077000117","Saint Etienne Métropole","2021-12-14","AUREAM","90108847600014","SIRET","2021DECH34600","Marché","Révisable","2021-12-13","ASSISTANCE A MAÎTRISE D'OUVRAGE POUR LE CONTRÔLE TECHNIQUE ET FINANCIER DE LA CONCESSION DE SERVICE PUBLIC POUR LE FINANCEMENT, LA CONCEPTION, LA CONSTRUCTION ET  L'EXPLOITATION D'UN CENTRE DE TRI DES EMBALLAGES ET PAPIERS GRAPHIQUES","15862.5",""
"Procédure adaptée","42000","SAINT ETIENNE","Marché","71410000","7","24420077000117","Saint-Etienne Métropole","2021-02-19","AGENCE MOSAIQUE ENVIRONNEMENT","41835343900023","SIRET","2021AT3400","Marché","Ferme et actualisable","2021-2-18","Identification des corridors écologiques locaux dans le cadre du Plan Local d'Urbanisme intercommunal de Saint-Étienne Métropole","33012.50","42B92772AE1FB28C3D1738DC8A958476"
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","50324100","12","24420077000117","Saint Etienne Métropole","2021-07-13","AED","39016737700014","SIRET","2021PATR14700","Marché","Révisable","2021-07-13","Fournitures et maintenance des moyens de lutte contre l'incendie pour divers bâtiments de Saint-Etienne Métropole.","25179.26",""
"Procédure adaptée","42000","Chambon Feugerolles","Marché subséquent","71241000","2","24420077000117","Saint-Etienne Métropole","2021-03-01","VINCENT DESVIGNES INGENIERIE - V.D.I","79948398700019","SIRET","2021ACT1700","Marché","Ferme et actualisable","2021-2-26","MAÎTRISE D'OEUVRE COMPLETE POUR CONFORTEMENT DE VOIRIE 43 RUE VOLTAIRE COMMUNE LE CHAMBON-FEUGEROLLES 42500 - MARCHE SUBSEQUENT N°11","10400.00","4481F9E2FA372D61C79B8095930745CB"
"Procédure adaptée","42500","Chambon Feugerolles","Marché subséquent","71241000","2","24420077000117","Saint-Etienne Métropole","2021-03-01","VINCENT DESVIGNES INGENIERIE - V.D.I","79948398700019","SIRET","2021ACT1600","Marché","Ferme et actualisable","2021-2-26","MAÎTRISE D'OEUVRE COMPLETE POUR CONFORTEMENT DE VOIRIE VALLEE DE VALCHERIE COMMUNE LE CHAMBON-FEUGEROLLES 42500 - MARCHE SUBSEQUENT N°10","10400.00","4495A1BC072A361560752D417423B46E"
"Procédure adaptée","42150","LA RICAMARIE","Marché subséquent","71241000","2","24420077000117","Saint-Etienne Métropole","2021-03-01","VINCENT DESVIGNES INGENIERIE - V.D.I","79948398700019","SIRET","2021ACT1500","Marché","Ferme et actualisable","2021-02-22","MAITRISE D'OEUVRE PARTIELLE POUR INSTALLATION DE TROIS DEBIMETRES DE SECTORISATION SUR LE RESEAU D'EAU POTABLE COMMUNE DE LA RICAMARIE 42150 - MARCHE SUBSEQUENT N°9","3575.00","44A817A7D4187DDD936CBE79500BB9E1"
"Appel d'offres ouvert","42000","Territoire de Saint-Etienne Métropole.Ville de Saint-Etienne","Accord-cadre","45233223","12","24420077000117","Saint Etienne Métropole","2021-07-08","ROGER MARTIN RHONE ALPES","32380048200040","SIRET","2021VO14500","Marché","Révisable","2021-07-08","Travaux d'urgence, de petit entretien et d'aménagement de faible ampleur","75000.0",""
"Procédure négociée ouverte","42000","SAINT ETIENNE","Concession de travaux","45222100","144","","","2022-01-03","","","","2021DECH27500","Contrat de concession","","","CONCESSION DE SERVICE PUBLIC POUR LA CONCEPTION, LE FINANCEMENT, LA REALISATION ET L'EXPLOITATION D'UN CENTRE DE TRI DES EMBALLAGES MENAGERS ET DES PAPIERS GRAPHIQUES","",""
"Procédure adaptée","42290","Lieu d'exécution :- Aboën (ampérieux)- Saint-Victor sur Loire (Ancer)- Villars (Hayassiere)- La Valla en Gier (les Mures)- Farnay (Le Ban)- Saint-Chamond (Montanary)- Sorbiers (la  Buyetière)- Sorbiers (la Choltière)","Marché","45112000","4","24420077000117","Saint Etienne Métropole","2021-08-17","TREMA","51365418600024","SIRET","2021EP21300","Marché","Révisable","2021-08-16","Travaux de DECI (défense extérieur contre l'incendie) dans divers hameaux du territoire de Saint-Etienne Métropole","358271.0",""
"Procédure adaptée","42000","Saint-Etienne","Accord-cadre","80530000","12","24420077000117","Saint-Etienne Métropole","2020-08-24","COTE TRAVAIL","44470108000012","SIRET","2020RH16300","Marché","Révisable","2020-8-20","Prestations de coaching","30000.00","4A16E06CF4D9167227B584A5C4057D45"
"Procédure adaptée","42290","Lieu-dit Chana, rue des Mineurs, RD 106, rue du Champ Blanc, avenue du Chalet, impasse des Erables et rue des Azalées 42290 SORBIERS","Marché","45233252","3","24420077000117","Saint-Etienne Métropole","2020-04-17","EIFFAGE ROUTE CENTRE EST","39882711300141","SIRET","2020ACT14100","Marché","Ferme et actualisable","2020-4-17","Travaux de voirie 2020 sur la commune de Sorbiers","295804.60","4B7637E9F66A4E780AAB68B522840575"
"Procédure adaptée","42400","Réservoir et abords du réservoir de Layat, chemin de l'hermitage.","Marché","45261420","10","24420077000117","Saint Etienne Métropole","2021-08-02","ALBERTAZZI","97350735300025","SIRET","2021EP19600","Marché","Révisable","2021-07-30","Alimentation en eau potable réhabilitation du réservoir de Layat sur la commune de Saint-Chamond","252670.0",""
"Procédure adaptée","42400","Réservoir et abords du réservoir de Layat, chemin de l'hermitage.","Marché","45261420","10","24420077000117","Saint Etienne Métropole","2021-08-11","ER Rhône-Alpes","51444296100025","SIRET","2021EP19500","Marché","Révisable","2021-08-10","Alimentation en eau potable réhabilitation du réservoir de Layat sur la commune de Saint-Chamond","318000.0",""
"Procédure adaptée","43240","Barrage de l'Echapre implanté sur la commune de Firminy (42700) et sur la commune de","Marché","45112500","7","24420077000117","Saint Etienne Métropole","2022-03-09","GUINTOLI","44775408600034","SIRET","2022EP7700","Marché","Révisable","2022-03-08","Travaux de mise en sécurité du barrage de l'Echapre.","1119499.26",""
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","66171000","12","24420077000117","Saint Etienne Métropole","2022-01-13","Jean-Raphaël BERT Consultant","45077536600054","SIRET","2021EP31800","Marché","Révisable","2022-01-13","Missions d'assistance administrative, technique et financière pour la gestion des services publics d'assainissement et d'eau potable","339400.0",""
"Procédure adaptée","69125","Plaine de Saint-Exupéry","Marché","71356200","8","20003195300017","Pôle Métropolitain","2022-03-14","MODAAL","80123833800041","SIRET","2022PM0100","Marché","Ferme et actualisable","2022-03-14","Étude de préfiguration d'un modèle foncier opérationnel pour la mise en oeuvre de la Stratégie de Développement et d'aménagement des Zones d'activités du projet Plaine Saint-Exupéry","27600.0",""
"Procédure adaptée","42500","Secteur La Bargette 42500 Chambon Feugerolles","Marché","71332000","3","24420077000117","Saint-Etienne Métropole","2020-09-08","CELIGEO","82267678900016","SIRET","2020ASRI25200","Marché","Ferme et actualisable","2020-9-7","Prospection géotechnique et qualité des sols pour l'aménagement de l'Ondaine à la Bargette commune du Chambon Feugerolles (Loire)","60334.80","4E7BE2FA945E81C5981C0AA773988B51"
"Procédure adaptée","42320","La Grand Croix 42320 La Grand Croix","Marché","71335000","12","24420077000117","Saint-Etienne Métropole","2020-09-08","SCE","34508145900090","SIRET","2020ASRI25300","Marché","Révisable","2020-9-7","MAITRISE D'OEUVRE POUR LA DECONSTRUCTION ET RECONSTRUCTION DU PONT DE LA RD106 SUR LE GIER A LA GRAND CROIX","79800.00","4E9660DDB5DEB300608A71BBFFEDB804"
"Procédure adaptée","42000","SAINT ETIENNE","Accord-cadre","92400000","12","24420077000117","Saint Etienne Métropole","2021-09-21","CORIOLINK","80536601000017","SIRET","2021COMM24900","Marché","Révisable","2021-09-20","PRESTATION GÉNÉRALISTE DE RELATIONS PRESSE, BLOGGEURS ET INFLUENCEURS","213000.0",""
"Marché négocié sans publicité ni mise en concurrence préalable","42480","LA FOUILLOUSE","Marché","45232410","1","24420077000117","Saint-Etienne Métropole","2020-03-18","Travaux Publics du Jarez","39017279900020","SIRET","2020ASRI11900","Marché","Ferme","2020-03-10","Confortement des réseaux d'assainissement et d'eau potable Avenue Jean Faure à La Fouillouse","76813.99","4F2D0C9AB8AE3EC7BC9BC4403EBCBC89"
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","50232200","12","24420077000117","Saint Etienne Métropole","2022-03-09","BOUYGUES ENERGIES & SERVICES","77566487303479","SIRET","2022VO5600","Marché","Révisable","2022-03-08","Interventions sur feux tricolores sur le patrimoine de Saint-Etienne Métropole : fourniture, maintenance, travaux d'entretien et d'investissement","1713000.0",""
"Appel d'offres ouvert","42400","SAINT CHAMOND","Accord-cadre","50232200","12","24420077000117","Saint Etienne Métropole","2022-03-09","SERP","35046949000048","SIRET","2022VO5700","Marché","Révisable","2022-03-08","Interventions sur feux tricolores sur le patrimoine de Saint-Etienne Métropole : fourniture, maintenance, travaux d'entretien et d'investissement","300000.0",""
"Appel d'offres ouvert","42700","FIRMINY","Accord-cadre","50232200","12","24420077000117","Saint Etienne Métropole","2022-03-09","SERP","35046949000048","SIRET","2022VO5800","Marché","Révisable","2022-03-08","Interventions sur feux tricolores sur le patrimoine de Saint-Etienne Métropole : fourniture, maintenance, travaux d'entretien et d'investissement","240000.0",""
"Procédure adaptée","42650","Rue Victor Hugo","Marché","71335000","12","24420077000117","Saint Etienne Métropole","2021-07-28","oteis","33832946900237","SIRET","2021VO20200","Marché","Révisable","2021-07-28","Maîtrise d'oeuvre complète pour l'aménagement de la rue Victor Hugo à Saint-Jean-Bonnefonds.","124950.82",""
"Procédure adaptée","42700","Boulevard de la Corniche 42700 FIRMINY","Marché","71520000","48","24420077000117","Saint-Etienne Métropole","2021-03-11","setec als","49343310600058","SIRET","2021VO5700","Marché","Révisable","2021-03-11","Maîtrise d'oeuvre complète pour l'aménagement du boulevard de la Corniche avec renouvellement des réseaux humides sur la commune de FIRMINY","118050.00","566331F6DB1EAD2AEE62784BA6DF990B"
"Procédure adaptée","42000","SAINT ETIENNE","Marché","71541000","12","24420077000117","Saint-Etienne Métropole","2020-12-02","PASSAGER DES VILLES","41108659800041","SIRET","2020VO36100","Marché","Révisable","2020-12-1","MAITRISE D'OEUVRE DES ESPACES PUBLICS - AMENAGEMENT SECTEUR MOLINA - QUARTIER MONTREYNAUD - MARCHE SUBSEQUENT N°3","97061.95","5775B28B96B3A41F6B95926573070EF7"
"Procédure adaptée","42280","La Fouillouse Saint Etienne Villars","Marché","71335000","5","24420077000117","Saint-Etienne Métropole","2020-06-16","VINCENT DESVIGNES INGENIERIE - V.D.I","79948398700019","SIRET","2020ASRI15600","Marché","Révisable","2020-6-16","Marché de maîtrise d'oeuvre pour le transfert des effluents du site de la STEP Moulin Saint Paul à La Fouillouse à la STEP Furania à Villars","59600.00","5AEF5F5AE340DA927006DE43B1FFEC32"
"Procédure adaptée","42580","Chemin des Bruneaux, chemin des Genêts (trottoirs) et carrefour de la rue de la Paix et de la rue des Alliés à l'Etrat 42580 L'Etrat - La Tour-en-Jarez","Marché","45233252","2","24420077000117","Saint-Etienne Métropole","2020-06-26","ROGER MARTIN RHONE ALPES","32380048200040","SIRET","2020ACT16500","Marché","Ferme et actualisable","2020-6-25","Travaux de voirie 2020 sur les communes de L'Etrat et la Tour-en-Jarez","211484.60","5B55CB6BF83626FA79837B23330D7346"
"Procédure adaptée","42150","Rues Dorian, Gambetta, Langevin et place de la Liberté 42150 LA RICAMARIE","Marché","71241000","3","24420077000117","Saint-Etienne Métropole","2020-11-02","ZEPPELIN ARCHITECTES","79301655100012","SIRET","2020DCAF22900","Marché","Ferme et actualisable","2020-10-30","Marché de programmation urbaine et d'études préliminaires pour l'ilot Dorian à La Ricamarie.","19475.00","5DCC4268D7892BD4E609188416063033"
"Appel d'offres ouvert","42000","SAINT ETIENNE","Accord-cadre","71335000","12","24420077000117","Saint Etienne Métropole","2021-08-27","PRESENTS","35024603900399","SIRET","2021AT21800","Marché","Révisable","2021-08-26","Accord-cadre de maitrise d'oeuvre pour des aménagements cyclables sur le territoire de Saint-Etienne Métropole","156675.0",""
"Procédure adaptée","42740","La scierie Granjean 42740 Doizieux","Marché","45262640","1","24420077000117","Saint-Etienne Métropole","2020-07-01","MONTAGNIER TP","34874701500025","SIRET","2020ASRI21200","Marché","Ferme et actualisable","2020-6-29","AMELIORATION DE LA CONTINUITE ECOLOGIQUE SUR DES OUVRAGES DE LA RIVIERE « LE DORLAY » A DOIZIEUX ROE 84 922 & 84 991","27445.00","5EE4341FD066FF5D7FD3876C4FCC039D"
"Procédure adaptée","42660","BARRAGE DES PLATS","Marché","71335000","24","24420077000117","Saint-Etienne Métropole","2020-07-01","SAFEGE","54202182900107","SIRET","2020EP21300","Marché","Révisable","2020-06-29","Etude de fiabilisation de l'extension de la conduite forcée du barrage des Plats","21360.00","5F342504F5D7CF75F22BA940F3BFCF51"
"Procédure adaptée","42000","SAINT ETIENNE","Marché","71241000","6","24420077000117","Saint Etienne Métropole","2021-06-24","TEKHNE D'ARCHITECTURE","35309005300045","SIRET","2021DCAF16400","Marché","Ferme et actualisable","2021-06-23","ETUDES DE FAISABILITE, DE PROGRAMMATION ET DE COMPOSITION URBAINE PAYSAGERE ET CULTURELLE - Site de la DOA et du Musée d'Art Moderne et Contemporain Entrée Nord de la Métropole de Saint Etienne","49850.0",""
"Procédure adaptée","42270","SAINT-PRIEST","Marché","45233252","2","24420077000117","Saint Etienne Métropole","2021-05-20","GUINTOLI","44775408600034","SIRET","2021ACT11500","Marché","Ferme et actualisable","2021-05-11","Travaux de voirie 2021 sur la commune de Saint-Priest-en-Jarez (Loire)","234627.37",""
"Procédure adaptée","42350","Rue Mirabeau et secteur Pont Bayard","Marché","45232150","2","24420077000117","Saint Etienne Métropole","2021-06-29","SEETP-ROBINET","60450053800102","SIRET","2021ACT18000","Marché","Ferme et actualisable","2021-06-28","Travaux de renouvellement d'une canalisation d'eau potable sur la commune de la Talaudière","164925.0",""
"Procédure adaptée","42000","Bellevue Le Mont","Marché","71241000","4","24420077000117","Saint Etienne Métropole","2021-06-29","Ville en Oeuvre","81745319400026","SIRET","2021DCAF16500","Marché","Ferme et actualisable","2021-06-28","Marché de programmation urbaine Bellevue Le Mont","89950.0",""
"Procédure adaptée","42000","SAINT ETIENNE","Marché","71356000","48","24420077000117","Saint-Etienne Métropole","2020-11-02","E6","49369245300050","SIRET","2020DD27200","Marché","Révisable","2020-11-02","Mission d'accompagnement par un Conseiller Cit'ergie  dans une démarche de labellisation pour la Métropole et la Ville de Saint-Etienne","70400.00","615AF134E78692A59BC086210BCBAF8B"
"Procédure adaptée","42000","Stations d'épuration de Saint-Etienne Métropole","Accord-cadre","45252130","12","24420077000117","Saint-Etienne Métropole","2020-11-17","EUROVIA DALA AGENCE LMTP","31797591000389","SIRET","2020ASRI31700","Marché","Révisable","2020-11-17","Travaux d'installation de disconnecteurs sur les branchements d'eau potable des stations d'épuration du Territoire de Saint-Etienne Métropole.","200000.00","627559E6B72766689144DDC33439922B"
"Procédure adaptée","42320","354 Rue du Canal 42320 LA GRAND CROIX","Marché","45262660","3","24420077000117","Saint-Etienne Métropole","2020-11-17","TPM","40842674000028","SIRET","2020DCAF33400","Marché","Ferme et actualisable","2020-11-17","Travaux de désamiantage, déconstruction et démolition du bâtiment  Site dit Tissafil à La Grand Croix","242531.50","6315D59A9BD6854F4D1E739647F5F141"
"Procédure adaptée","42320","Saint-Christo-en-Jarez","Marché","45111291","2","24420077000117","Saint Etienne Métropole","2021-05-10","ETS TPCF - GROUPE COLAS","32933888304254","SIRET","2021ACT10300","Marché","Ferme et actualisable","2021-05-10","Aménagement du lit de l'Onzon au lieu-dit le Rey sur la commune de Saint-Christo-en-Jarez (Loire)","27865.0",""
"Procédure adaptée","42350","Place du 14 Juillet","Marché","45232150","8","24420077000117","Saint Etienne Métropole","2021-09-21","ROGER MARTIN RHONE ALPES","32380048200040","SIRET","2021VO23800","Marché","Révisable","2021-09-21","Aménagement du contournement de la Place du 14 Juillet à La Talaudière - Tranche 1.","398348.3",""
"Procédure adaptée","42350","Place du 14 Juillet","Marché","45232150","4","24420077000117","Saint Etienne Métropole","2021-09-21","SMTP","88725043900049","SIRET","2021VO23900","Marché","Révisable","2021-09-21","Aménagement du contournement de la Place du 14 Juillet à La Talaudière - Tranche 1.","17585.0",""
"Procédure adaptée","42480","communes de la Fouillouse et Villars","Marché","45232411","8","24420077000117","Saint Etienne Métropole","2021-12-20","SADE CGTH","56207750301172","SIRET","2021ASRI30700","Marché","Révisable","2021-12-17","Travaux pour la création d'une canalisation de transfert des eaux usées de la STEP Moulin St Paul à La Fouillouse à la STEP Furania (Loire)","2425955.0",""
"Procédure adaptée","42000","Bellevue Le Mont","Marché","71335000","3","24420077000117","Saint Etienne Métropole","2021-05-10","SAFEGE","54202182900107","SIRET","2021DCAF7000","Marché","Ferme","2021-05-10","Etude hydraulique Bellevue Le Mont à Saint-Etienne","30760.0",""
"Procédure adaptée","42270","SAINT-PRIEST EN jAREZ","Marché","79970000","12","24420077000117","Saint-Etienne Métropole","2020-07-16","IAC éditions d'Art","45245704700028","SIRET","2020MAM15700","Marché","Révisable","2020-7-16","Edition d'une série de catalogues de collection et prestations de graphisme pour le Musée d'Art Moderne et Contemporain de Saint-Etienne Métropole","15103.50","66284402AD61BB9D39C52608DD80EA19"
"Procédure adaptée","42400","SAINT CHAMOND","Marché","45233142","2","24420077000117","Saint-Etienne Métropole","2020-11-27","eurovia","31797591000223","SIRET","2020ACT35300","Marché","Ferme et actualisable","2020-11-27","Réaménagement de la route de Lyon sur la commune de Saint-Chamond","148605.63","66960CED0CF8A0FCEF013D3644C7D5BA"
